SECTION,QUERY_TERM,DESCRIPTION,CATEGORICAL_TYPES,INTERACTOME_GRANULAR_TYPES,SIGNATURE_NAMES,TOTAL_TYPE_COUNT,CANONICAL_NAME,ORIGINAL_NAME,COMPARTMENT,QUERY_TERMS_THAT_INCLUDE_THIS,NOTES,INTERACTOME_ORIGINAL_NAME,CANONICAL_PARENT,FUNCTIONAL_STATE,SOURCE_DATASETS,CONFIDENCE,SIGNATURE_NAME
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+ISG+ CD8+ T,CD8_T_GENERAL,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+KIR+EOMES+ NK-like,CD8_T_GENERAL,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+KIR+TXK+ NK-like,CD8_T_GENERAL,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+NME1+ T,CD8_T_GENERAL,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells, exhausted T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+OXPHOS- Tex,CD8_T_EXHAUSTED,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells, exhausted T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+TCF7+ Tex,CD8_T_EXHAUSTED,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+Tc17,CD8_T_GENERAL,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+Temra,CD8_TMEMORY,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+Tn,CD8_T_GENERAL,naive,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+ZNF683+CXCR6+ Trm,CD8_TMEMORY,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+ZNF683+CXCR6- Tm,CD8_T_GENERAL,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells, exhausted T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+terminal Tex,CD8_T_EXHAUSTED,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",,Cytotoxic,CD8_T_GENERAL,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,Dendritic cells,,DC,DENDRITIC_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,NOT_IN_QUERY_TERMS,,Eosinophil,BASOPHILS,,"Bindeya, Newman",medium,
INTERACTOME_TYPES,,,,,,,,,,Macrophages,,M0,TAM,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Macrophages,,M1,TAM,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Macrophages,,M2,TAM,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Macrophages,,Macrophage,TAM,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,Mast,,Mast,MAST,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,Monocytes,,Monocyte,MONOCYTES,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells, NK cells",,NK,NK_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,Monocytes,,Neutrophil,MONOCYTES,,"Bindeya, Newman",medium,
INTERACTOME_TYPES,,,,,,,,,,B cells,,Plasma,B_CELLS,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, CD8 T cells, T cells, Treg, exhausted T cells, Tumor",,T,T_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",,Tcm,CD8_TMEMORY,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, CD8 T cells, T cells",,Tem,CD8_TMEMORY,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,Tfh,CD4_TFH,follicular_helper,"Bindeya, Newman",high,
INTERACTOME_TYPES,,,,,,,,,,T cells,,Tgd,T_GAMMA_DELTA,,"Bindeya, Newman",high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,Th,CD4+_T_CELLS,t_helper,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,Th1,CD4_T_TH1,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,Th2,CD4+_T_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells, Treg",,Treg,CD4_T_REGULATORY,regulatory,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Tumor,,Tumor,TUMOR_CLASSICAL,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,aCD4 Tm,CD4+_T_CELLS,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Dendritic cells,,aDC,DENDRITIC_CELLS,,"Bindeya, Newman",high,
INTERACTOME_TYPES,,,,,,,,,,Mast,,aMast,MAST,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,NK cells,,aNK,NK_CELLS,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Dendritic cells,,iDC,DENDRITIC_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,rCD4 Tm,CD4+_T_CELLS,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Dendritic cells,,rDC,DENDRITIC_CELLS,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,Mast,,rMast,MAST,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,NK cells,,rNK,NK_CELLS,,Newman,high,
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,ACINAR
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,ADIPOCYTES
SIGNATURES,,,,,,,,,,Fibroblasts,,,,,,,APCAF
SIGNATURES,,,,,,,,,,B cells,,,,,,,B CELLS
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,BASOPHILS
SIGNATURES,,,,,,,,,,B cells,,,,,,,B_CELLS
SIGNATURES,,,,,,,,,,B cells,,,,,,,B_CELLS_NAIVE
SIGNATURES,,,,,,,,,,B cells,,,,,,,B_NAIVE
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4+ T CELLS
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TEX
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TFH
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TH1
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TH17
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TH2
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TH22
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TNAIVE
