,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[2419],-0.038,0.045,-0.123,0.045,0.0,0.001,15469.0,5770.0,1.0
mu[2420],-0.082,0.045,-0.166,0.001,0.0,0.001,15114.0,6389.0,1.0
mu[2421],-0.099,0.045,-0.185,-0.013,0.0,0.001,15456.0,6074.0,1.0
mu[2422],-0.129,0.045,-0.213,-0.043,0.0,0.001,14674.0,6717.0,1.0
mu[2423],0.031,0.046,-0.053,0.122,0.0,0.001,18273.0,6242.0,1.0
mu[2424],-0.085,0.045,-0.171,-0.001,0.0,0.001,16340.0,6354.0,1.0
mu[2425],0.046,0.052,-0.048,0.148,0.0,0.001,13640.0,6255.0,1.0
mu[2426],0.047,0.045,-0.035,0.133,0.0,0.001,18328.0,6329.0,1.0
mu[2427],-0.056,0.044,-0.139,0.026,0.0,0.001,16254.0,5715.0,1.0
mu[2428],0.152,0.046,0.066,0.237,0.0,0.001,16794.0,6458.0,1.0
mu[2429],-0.037,0.045,-0.12,0.045,0.0,0.001,16437.0,6010.0,1.0
mu[2430],-0.173,0.045,-0.257,-0.09,0.0,0.001,14376.0,5729.0,1.0
mu[2431],-0.039,0.053,-0.135,0.063,0.0,0.001,14101.0,5768.0,1.0
mu[2432],-0.084,0.045,-0.167,0.002,0.0,0.001,14508.0,5415.0,1.0
mu[2433],-0.021,0.046,-0.107,0.068,0.0,0.001,17112.0,5827.0,1.0
mu[2434],0.204,0.045,0.125,0.289,0.0,0.001,16058.0,6555.0,1.0
mu[2435],0.139,0.045,0.054,0.223,0.0,0.001,16434.0,6617.0,1.0
mu[2436],0.077,0.052,-0.016,0.181,0.0,0.001,14752.0,6610.0,1.0
mu[2437],0.055,0.046,-0.026,0.145,0.0,0.001,17483.0,5701.0,1.0
mu[2438],-0.077,0.044,-0.157,0.007,0.0,0.001,15984.0,6201.0,1.0
mu[2439],-0.033,0.052,-0.13,0.067,0.0,0.001,14696.0,6867.0,1.0
mu[2440],-0.075,0.045,-0.157,0.011,0.0,0.001,17218.0,5447.0,1.0
mu[2441],-0.042,0.045,-0.129,0.043,0.0,0.001,14270.0,5892.0,1.0
mu[2442],0.141,0.045,0.056,0.224,0.0,0.001,16017.0,6508.0,1.0
mu[2443],-0.075,0.052,-0.176,0.022,0.0,0.001,14115.0,6460.0,1.0
mu[2444],-0.093,0.045,-0.18,-0.013,0.0,0.001,16098.0,5843.0,1.0
mu[2445],-0.118,0.044,-0.2,-0.035,0.0,0.001,14767.0,6352.0,1.0
mu[2446],0.103,0.044,0.024,0.192,0.0,0.001,16579.0,6428.0,1.0
mu[2447],0.058,0.045,-0.028,0.142,0.0,0.001,16774.0,6238.0,1.0
mu[2448],-0.017,0.044,-0.097,0.069,0.0,0.001,16619.0,6334.0,1.0
mu[2449],-0.062,0.045,-0.145,0.022,0.0,0.001,15419.0,6339.0,1.0
mu[2450],0.057,0.044,-0.024,0.142,0.0,0.001,16325.0,5670.0,1.0
mu[2451],-0.121,0.045,-0.206,-0.039,0.0,0.001,14631.0,5886.0,1.0
mu[2452],0.343,0.045,0.259,0.428,0.0,0.001,16276.0,6562.0,1.0
mu[2453],-0.033,0.045,-0.119,0.05,0.0,0.001,16185.0,5477.0,1.0
mu[2454],-0.065,0.052,-0.164,0.032,0.0,0.001,14071.0,5935.0,1.0
mu[2455],-0.136,0.045,-0.217,-0.049,0.0,0.001,14278.0,5562.0,1.0
mu[2456],-0.022,0.045,-0.106,0.061,0.0,0.001,16686.0,5978.0,1.0
mu[2457],-0.129,0.045,-0.212,-0.044,0.0,0.001,14958.0,5742.0,1.0
mu[2458],0.194,0.051,0.101,0.293,0.0,0.001,14163.0,6313.0,1.0
mu[2459],0.007,0.045,-0.076,0.091,0.0,0.001,15504.0,6257.0,1.0
mu[2460],-0.031,0.044,-0.114,0.054,0.0,0.001,15252.0,6418.0,1.0
mu[2461],-0.063,0.045,-0.148,0.019,0.0,0.001,17564.0,6422.0,1.0
mu[2462],-0.154,0.044,-0.241,-0.075,0.0,0.001,14599.0,5483.0,1.0
mu[2463],-0.13,0.046,-0.216,-0.045,0.0,0.001,14811.0,6162.0,1.0
mu[2464],0.011,0.052,-0.091,0.106,0.0,0.001,14421.0,6064.0,1.0
mu[2465],-0.107,0.045,-0.193,-0.025,0.0,0.001,17216.0,6235.0,1.0
mu[2466],-0.01,0.045,-0.097,0.072,0.0,0.001,16203.0,5634.0,1.0
mu[2467],0.348,0.045,0.262,0.431,0.0,0.001,15637.0,6870.0,1.0
mu[2468],-0.161,0.044,-0.242,-0.075,0.0,0.001,15099.0,5919.0,1.0
mu[2469],0.059,0.045,-0.027,0.141,0.0,0.001,15729.0,5700.0,1.0
mu[2470],-0.016,0.045,-0.103,0.067,0.0,0.001,17219.0,6188.0,1.0
