,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[14838],0.001,0.048,-0.088,0.091,0.0,0.001,19106.0,6014.0,1.0
mu[14839],-0.105,0.047,-0.198,-0.02,0.0,0.001,20377.0,5618.0,1.0
mu[14840],-0.056,0.046,-0.142,0.027,0.0,0.001,19782.0,5559.0,1.0
mu[14841],-0.04,0.047,-0.123,0.056,0.0,0.001,19153.0,6036.0,1.0
mu[14842],-0.167,0.045,-0.249,-0.081,0.0,0.001,21936.0,6019.0,1.0
mu[14843],0.248,0.044,0.164,0.331,0.0,0.001,19089.0,5165.0,1.0
mu[14844],-0.023,0.045,-0.104,0.064,0.0,0.001,19730.0,6024.0,1.0
mu[14845],-0.024,0.046,-0.108,0.068,0.0,0.001,22454.0,5402.0,1.0
mu[14846],-0.091,0.044,-0.177,-0.008,0.0,0.001,19264.0,5540.0,1.0
mu[14847],-0.081,0.044,-0.167,-0.0,0.0,0.001,21822.0,5513.0,1.0
mu[14848],-0.061,0.044,-0.148,0.019,0.0,0.001,22531.0,5840.0,1.0
mu[14849],-0.043,0.045,-0.128,0.043,0.0,0.001,23698.0,5477.0,1.0
mu[14850],-0.152,0.046,-0.241,-0.067,0.0,0.001,20789.0,5843.0,1.0
mu[14851],0.03,0.045,-0.053,0.115,0.0,0.001,21665.0,5320.0,1.0
mu[14852],-0.082,0.045,-0.166,0.002,0.0,0.001,21737.0,5521.0,1.0
mu[14853],-0.091,0.044,-0.176,-0.009,0.0,0.001,17818.0,5416.0,1.0
mu[14854],-0.132,0.047,-0.222,-0.045,0.0,0.001,18800.0,5404.0,1.0
mu[14855],-0.066,0.045,-0.147,0.023,0.0,0.001,18728.0,5387.0,1.0
mu[14856],0.032,0.044,-0.051,0.115,0.0,0.001,18905.0,5402.0,1.0
mu[14857],0.035,0.048,-0.061,0.12,0.0,0.001,19006.0,5890.0,1.0
mu[14858],-0.135,0.045,-0.221,-0.052,0.0,0.001,21244.0,6127.0,1.0
mu[14859],-0.014,0.043,-0.092,0.07,0.0,0.001,19891.0,6463.0,1.0
mu[14860],0.058,0.043,-0.022,0.137,0.0,0.001,20011.0,5985.0,1.0
mu[14861],-0.046,0.048,-0.135,0.044,0.0,0.001,19794.0,6449.0,1.0
mu[14862],-0.022,0.044,-0.105,0.06,0.0,0.001,20961.0,5502.0,1.0
mu[14863],-0.047,0.045,-0.13,0.039,0.0,0.001,18297.0,5650.0,1.0
