,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[1040],-0.03,0.055,-0.131,0.076,0.0,0.001,19947.0,5250.0,1.0
mu[1041],-0.076,0.059,-0.189,0.032,0.0,0.001,18150.0,5829.0,1.0
mu[1042],-0.141,0.074,-0.282,-0.006,0.001,0.001,14586.0,6756.0,1.0
mu[1043],-0.075,0.059,-0.186,0.034,0.0,0.001,18209.0,5784.0,1.0
mu[1044],-0.051,0.056,-0.156,0.054,0.0,0.001,19815.0,5323.0,1.0
mu[1045],-0.014,0.055,-0.12,0.089,0.0,0.001,19522.0,5225.0,1.0
mu[1046],-0.163,0.08,-0.312,-0.01,0.001,0.001,13556.0,6822.0,1.0
mu[1047],0.068,0.069,-0.063,0.195,0.001,0.001,14756.0,6222.0,1.0
mu[1048],0.026,0.06,-0.084,0.142,0.0,0.001,16983.0,5688.0,1.0
mu[1049],-0.035,0.055,-0.138,0.069,0.0,0.001,20002.0,5398.0,1.0
mu[1050],-0.039,0.055,-0.143,0.065,0.0,0.001,20037.0,5436.0,1.0
mu[1051],0.055,0.066,-0.071,0.176,0.001,0.001,15316.0,6096.0,1.0
mu[1052],0.011,0.058,-0.096,0.121,0.0,0.001,17956.0,5509.0,1.0
mu[1053],0.105,0.08,-0.04,0.257,0.001,0.001,13445.0,7033.0,1.0
mu[1054],0.068,0.069,-0.062,0.196,0.001,0.001,14720.0,6300.0,1.0
mu[1055],-0.047,0.056,-0.15,0.059,0.0,0.001,19933.0,5362.0,1.0
mu[1056],-0.074,0.059,-0.185,0.035,0.0,0.001,18230.0,5762.0,1.0
mu[1057],-0.199,0.092,-0.38,-0.033,0.001,0.001,12663.0,6826.0,1.0
mu[1058],0.057,0.066,-0.068,0.18,0.001,0.001,15240.0,6121.0,1.0
mu[1059],-0.108,0.065,-0.232,0.011,0.001,0.001,16210.0,6226.0,1.0
mu[1060],0.121,0.085,-0.032,0.284,0.001,0.001,13038.0,6941.0,1.0
mu[1061],-0.275,0.12,-0.517,-0.06,0.001,0.001,11718.0,7324.0,1.0
mu[1062],-0.089,0.061,-0.204,0.025,0.0,0.001,17354.0,5927.0,1.0
mu[1063],-0.038,0.055,-0.142,0.066,0.0,0.001,20033.0,5379.0,1.0
mu[1064],-0.017,0.055,-0.122,0.087,0.0,0.001,19612.0,5255.0,1.0
mu[1065],0.015,0.058,-0.093,0.126,0.0,0.001,17669.0,5565.0,1.0
mu[1066],0.106,0.08,-0.038,0.26,0.001,0.001,13393.0,7035.0,1.0
mu[1067],-0.225,0.102,-0.421,-0.036,0.001,0.001,12236.0,7236.0,1.0
mu[1068],-0.029,0.055,-0.131,0.077,0.0,0.001,19938.0,5197.0,1.0
